SI_No,Subject,Topic,Question_Type,Difficulty,Question,Description_Title,Description,Image (Optional),Option_1,Option_2,Option_3,Option_4,Concept_1,Concept_2,Concept_3,Answer Type,answers,Timed
Q1,Mathematics,Basic Algebra,Application,Low,Determine $\left (\frac{\frac{1}{2} \: + \frac{1}{3} \:- \frac{3}{8} \: + \frac{3}{7} \: - \frac{1}{4}\: of\: 2} {\frac{1}{8}}\right )$   ,,,,$\frac{1}{336}$,$\frac{3}{7}$,$\frac{4}{27}$,None of These,BODMAS,,,Single,2,Yes
Q2,Mathematics,Basic Algebra,Application,Low,$4\:of\:3 \:-\: 6\:+\:6\div2\:o\:f3- \left \{ \frac{1}{2} +\frac{1}{6} \:of\: 12 \right \}$,,,,12.5,4.5,-5.5,5.5,Addition,,,Single,2,Yes
Q3,Mathematics,Numbers,Comprehension and Application,Low,"There are 3 bells in a room. One of the bell rings once in 3 Minutes, another once in 4 minutes and another once in 15 minutes. How many rings do you hear in 60 minutes",,,,30 times,20 times,15 times,None of These,LCM Of Numbers,Addition,,Single,1,Yes
Q4,Mathematics,Fractions,Knowledge,Low,"Arrange the following fractions in ascending order.$\frac{19}{32}$ ,  $\frac{69}{83}$ , $\frac{63}{80}$ , $\frac{100}{117}$",,,,"$\frac{100}{117}$ , $\frac{69}{83}$ , $\frac{63}{80}$ , $\frac{19}{32}$","$\frac{19}{32}$ , $\frac{69}{83}$ , $\frac{63}{80}$ , $\frac{100}{117}$","$\frac{69}{83}$ , $\frac{19}{32}$ , $\frac{63}{80}$ , $\frac{100}{117}$","$\frac{19}{32}$ , $\frac{63}{80}$ , $\frac{69}{83}$ , $\frac{100}{117}$",Value of Fractions,,,Single,4,Yes
Q5,Mathematics,Percentage,Application,Low,A number is increased 4.6 times. Then the percentage increase in the number is,,,,260%,460%,360%,36%, Percentage Increase,Number of Times,,Single,3,Yes
Q6,Mathematics,Mean,"Comprehension, Knowledge",Low,In a room there are six baskets containing mangoes. The first four baskets contain 32 fruits on an average; the last three contain 40 fruits on an average. The average number of fruits in all the baskets is 4 less than the average of the fruits in the last three baskets. How many mangoes are there in the 4th basket?,,,,36,34,32,30,Determining Average,,,Single,3,Yes
Q7,Mathematics,Proportionality,Application,Low,a is proportional to the product of square root of b and cube of c. b is decreased 4  times while c is increased 3 times. What is the change in a?,,,,13.5 times increase,$\frac{4}{3}$ times increase,$\frac{3}{2}$ times increase,None of These,Direct Proportionality ,Increase In a Number,,Single,1,Yes
Q8,Mathematics,Progressions,Knowledge,Low,What is the sum of the following series? 1+4+7+.......+61,,,,559,630,569,620,Progression,,,Single,4,Yes
Q9,Mathematics,Exponents,Knowledge,Low,If $36^{30}=8^{x}*9^{y}$ then x and y equals,,,,"x=15, y=10","x=20, y=15","x=15, y=15","x=20,y=10",Comparing numbers with exponents,,,Single,2,Yes
Q10,Mathematics,Trignometry,"Comprehension, Synthesis",Low,A stick is 10 meters long. The length of the shadow of the stick is measured.,,,,If length of shadow is more than 10 meters the sun makes an angle less than 45 degrees to the Horizon,If the length is less than 10 meters then the time is less than 12,If length is 10 meters then the time is 2 p.m.,Corresponding to each length of shadow there will be two times.,Trignometry,,,Multi,"1, 4",Yes
Q11,Mathematics,Quadratic Equations,Application,Low,I purchased certain chocolates for Rs. 600. Had the price of each been Rs. 6 less I could have got 5 chocolates more. How many chocolates could I have bought for Rs. 900 at the original price?,,,,60,25,90,38,Framing Equations,Solving Equations,,Single,4,Yes
Q12,Mathematics,Quadratic Equations,Applications,Low,"Pipe A can fill a tank in x minutes and pipe B can empty the tank in (x+4) minutes. When both the pipes are opened together, then the tank can be filled in 48 minutes. Pipe B can empty the tank in _________ minutes.",,,,48,24,16,52,Equations,,,Single,3,Yes
Q13,Mathematics,Variable equations,Applications,Low,I bought 3 mangoes and 2 apples for Rs. 35. I would require Rs. 75 to buy a mango and 7 apples. What is the cost of an apple and a mango?,,,,Rs 10,Rs 20,Rs 9,Rs 15,Equations,,,Single,4,Yes
Q14,Mathematics,Heights and Distances,Comprehension and Application,Low,"Distance between two towers is 500m. Height of smaller tower is $\frac{1}{3}$ rd. of the height of the larger tower. A person climbs half of the smaller tower, and finds the angle of elevation of the top of larger tower to be $45^{\circ}$. The distance between the tops of two towers is ____________.",,,,$100\sqrt{41}m$,200m,$200\sqrt{3}m$,$100\sqrt{3}m$,Heights,Distances,,Single,1,Yes
Q15,Mathematics,Geometry,"Comprehension, knowledge, Application",Low,"A chord is drawn in a circle. At a point where the chord meets the circle a tangent is drawn and the angle between the tangent and the chord is x. The two ends of the chord subtend an angle y on the circumference and z at the center. What is the relation between x, y and z.",,,,$x = y = z$,$x = y = 2z$,$x = y = \frac{z}{2}$,$2x = 2y = z$,Circles,,,Multi,"3, 4",Yes
Q16,Mathematics,Geometry,Knowledge,Low,"In the given figure, $\angle APB = \angle AQB = 90$, AP = 12cm and BP = 5cm. Then BQ:AQ = _________",,,general_test1_16.png,$\frac{2}{3}$,$\frac{3600}{169}$,$\frac{12}{13}$,$\frac{5}{12}$,Properties of Altitude,,,Single,4,Yes
Q17,Mathematics,Trignometry,Knowledge ,Low,If $cosec\theta \:+\: cot\theta = P\: then \: cos\theta  = $ _________,,,,$\frac{2P}{P^2+1}$,$\frac{P^2+1}{2P}$,$\frac{P^2+1}{P^2-1}$,$\frac{P^2-1}{P^2+1}$,Trignometric Ratios,,,Single,4,Yes
Q18,Mathematics,Quadratic Equations,Applications,Low,$ax^2 +bx + c$ is a quadratic equation. Which of the following equations has the roots reciprocal to the roots of the given quadratic equation. ,,,,$bx^2 +ax + c$,$cx^2 +bx + a$,$cx^2 +ax + b$,$ax^2 +cx + b$,Framing Equations,Solving Equations,,Single,2,Yes
Q19,Mathematics,Simplify ,Knowledge ,Low,$\frac{\sqrt{65}.\sqrt[3]{63}}{132^{\frac{2}{3}}.91^\frac{3}{4}}  = $ _________,,,,$\frac{\left (\frac{5}{13}\right )^\frac{1}{4}}{\left ( 216\right )^\frac{1}{3}.7^\frac{1}{12}}$,$\frac{\left (\frac{25}{13}\right )^\frac{1}{4}}{\sqrt[3]{1936}.7^\frac{5}{12}}$,$\frac{\left (\frac{5}{13}\right )^\frac{1}{4}}{\sqrt[3]{1196}.7^\frac{1}{12}}$,$\frac{\left (\frac{25}{13}\right )^\frac{1}{4}}{\sqrt[3]{1932}.7^\frac{5}{12}}$,Exponents,,,Single,2,Yes
Q20,Mathematics,Progressions,"Application, Knowledge",Low,"On the 1st of a month I distribute 2 chocolates, on the second 5 chocolates, and, the 3rd 8 chocolates. How many chocolates do I totally distribute in 13 days?",,,,36,260,280,520,Addition of Progression,Number of Terms,Common Difference,Single,2,Yes
Q21,English,Reading Comprehension,Comprehension,Low,Photosynthesis is an example of what?,Reading Comprehension: Read the passage below and answer the questions that follow.,"There's a deep and complex relationship between living creatures, inorganic material such as rock and minerals, and the climate conditions we experience, such as rain and wind. These relationships are not always easy to see. Sometimes, the relationship operates on a level that is microscopically small, such as the way plants transform sunlight into nutrients. Other times, the relationship can be observed only across a hugely long span of time hundreds, thousands, or even millions of years. But the connection is there, and we're in a unique and privileged position to see and appreciate it. 
If you could overcome these two limitations of everyday seeing. if you could see things that were very small and subtle, and if you could see things that occurred over a very long stretch of time--what would you see?  
It's a matter of debate, but there's certainly a good case to be made that photosynthesis may be the most exciting earth process we know of. We know that plants are capable of converting water, carbon dioxide, and sunlight into oxygen. They are able to achieve this remarkable feat with a relatively small number of separate parts, and have done so, very reliably, for ages. Anyone who's ever had a household plant, watered it, set it near light, watched it grow, and felt the air in her home to be cleaner has experienced this magic firsthand. But if you could see this process on a microscopically small scale, this abstract magic would be revealed as an extraordinary set of mechanisms.  
What if you could see photosynthesis working over the span of billions of years? This is the other remarkable thing: This mechanism, which operates on the smallest scale imaginable, has consequences that are literally global in scope, and span ages. If you could watch the earth evolve, you could see how, over two and a half billion years ago, before the emergence of plants that could release oxygen, there simply wasn't much of it at all in the atmosphere. Not much oxygen in the atmosphere meant there were nowhere near the number and variety of creatures we've come to know today.  
Over the course of hundreds of millions of years, you'd slowly begin seeing the emergence of tiny organisms capable of producing oxygen. However, you'd also notice that most of that oxygen was captured by minerals and other organic matter, never growing to very high levels in the atmosphere. Sooner or later, though, these organic and inorganic matters would reach their saturation point, the moment when they simply could not absorb any more oxygen. That's when the oxygen created by organisms would become free oxygen. Free oxygen for everyone then, as an observer across the ages, you'd begin seeing the atmosphere change, from one dominated by methane and other elements, to one plentiful with oxygen. As we know, this is what set the stage for a huge diversity of mineral and organic life to emerge, including, many billions of years later, human beings. All of us, along with the foods we consume and the ground we walk on, are the direct descendants of a process that began billions of years ago, and that continues today, all across the planet, on a microscopically small level. What could be more exciting than that?  
Of course, if photosynthesis is the most exciting earth process we enjoy, then its energy from the opposite direction and heat from the Earth's core that's the most mysterious. That's because it originates, at least in part, from events that occurred at the very formation of the planet.  
Can you imagine such a thing as 'pre earth' space? It's a pretty heavy concept. But imagine the part of the universe where the earth would soon be, but wasn't yet. There, when the hot gases and particles were pulled together by gravity to create the early earth, immense heat was generated, and the resulting planetary core continues to cool to this day, radiating heat outward. The movement of more and less dense parts of the earth's core produces heat. Most of all, there are massive amounts of radioactive material deep in the earth's core, decaying slowly and releasing heat as they do.  
While energy from the sun sets in motion extraordinary interactions between the atmosphere, organisms and minerals, energy from the earth's core profoundly affects the shape of the ground we walk on--literally. Again, imagine having the power to see very small and very slow. Processes that result from earth's energy operate at these levels. We're all familiar with the most visible results: earthquakes and volcanoes, which can be mighty indeed But energy from the earth's core is also responsible for the shift of tectonic plates, that is, the very placement of one continent relative to another, and, as a result, the emergence of mountains, chasms, oceans, and myriad more aspects of the environment.  
This is what it really means to contemplate the origins of the planet and the universe. 
It's not simply a matter of the far away cosmos and their relationship to us. It's the question of how it came to be that events occurring unimaginably long ago, and taking place at a rate so slow it's impossible to see, have come to shape the ground we walk on. The decay of radioactive material deep in the earth's core is responsible for not only the Rocky Mountains, but the formation of cities and societies that have lived there for generations, such as Rocky Mountain National Park, which serves as a beacon to the natural wonders of America and Canada. It's responsible for mountains that serve as barriers, bringing to life divisions in culture unique to each side, while also posing a challenge to be crossed and burrowed into, spurring on scientific innovation in the process.  
So many aspects of what it means to be human, from the way cities are constructed, to the way nations are organized, are influenced by our natural environment, by the vast and complex set of processes that have shaped the earth since its inception, and will continue to do so long into the future.
",,one of philosophy's big ideas,one of Earth's key processes,one of humankinds best inventions,one of science's most well-known innovations,English,,,Single,2,No
Q22,English,Reading Comprehension,Comprehension,Low,"In this passage, the author provides a list of what?",Reading Comprehension: Read the passage below and answer the questions that follow.,"There's a deep and complex relationship between living creatures, inorganic material such as rock and minerals, and the climate conditions we experience, such as rain and wind. These relationships are not always easy to see. Sometimes, the relationship operates on a level that is microscopically small, such as the way plants transform sunlight into nutrients. Other times, the relationship can be observed only across a hugely long span of time hundreds, thousands, or even millions of years. But the connection is there, and we're in a unique and privileged position to see and appreciate it. 
If you could overcome these two limitations of everyday seeing. if you could see things that were very small and subtle, and if you could see things that occurred over a very long stretch of time--what would you see?  
It's a matter of debate, but there's certainly a good case to be made that photosynthesis may be the most exciting earth process we know of. We know that plants are capable of converting water, carbon dioxide, and sunlight into oxygen. They are able to achieve this remarkable feat with a relatively small number of separate parts, and have done so, very reliably, for ages. Anyone who's ever had a household plant, watered it, set it near light, watched it grow, and felt the air in her home to be cleaner has experienced this magic firsthand. But if you could see this process on a microscopically small scale, this abstract magic would be revealed as an extraordinary set of mechanisms.  
What if you could see photosynthesis working over the span of billions of years? This is the other remarkable thing: This mechanism, which operates on the smallest scale imaginable, has consequences that are literally global in scope, and span ages. If you could watch the earth evolve, you could see how, over two and a half billion years ago, before the emergence of plants that could release oxygen, there simply wasn't much of it at all in the atmosphere. Not much oxygen in the atmosphere meant there were nowhere near the number and variety of creatures we've come to know today.  
Over the course of hundreds of millions of years, you'd slowly begin seeing the emergence of tiny organisms capable of producing oxygen. However, you'd also notice that most of that oxygen was captured by minerals and other organic matter, never growing to very high levels in the atmosphere. Sooner or later, though, these organic and inorganic matters would reach their saturation point, the moment when they simply could not absorb any more oxygen. That's when the oxygen created by organisms would become free oxygen. Free oxygen for everyone then, as an observer across the ages, you'd begin seeing the atmosphere change, from one dominated by methane and other elements, to one plentiful with oxygen. As we know, this is what set the stage for a huge diversity of mineral and organic life to emerge, including, many billions of years later, human beings. All of us, along with the foods we consume and the ground we walk on, are the direct descendants of a process that began billions of years ago, and that continues today, all across the planet, on a microscopically small level. What could be more exciting than that?  
Of course, if photosynthesis is the most exciting earth process we enjoy, then its energy from the opposite direction and heat from the Earth's core that's the most mysterious. That's because it originates, at least in part, from events that occurred at the very formation of the planet.  
Can you imagine such a thing as 'pre earth' space? It's a pretty heavy concept. But imagine the part of the universe where the earth would soon be, but wasn't yet. There, when the hot gases and particles were pulled together by gravity to create the early earth, immense heat was generated, and the resulting planetary core continues to cool to this day, radiating heat outward. The movement of more and less dense parts of the earth's core produces heat. Most of all, there are massive amounts of radioactive material deep in the earth's core, decaying slowly and releasing heat as they do.  
While energy from the sun sets in motion extraordinary interactions between the atmosphere, organisms and minerals, energy from the earth's core profoundly affects the shape of the ground we walk on--literally. Again, imagine having the power to see very small and very slow. Processes that result from earth's energy operate at these levels. We're all familiar with the most visible results: earthquakes and volcanoes, which can be mighty indeed But energy from the earth's core is also responsible for the shift of tectonic plates, that is, the very placement of one continent relative to another, and, as a result, the emergence of mountains, chasms, oceans, and myriad more aspects of the environment.  
This is what it really means to contemplate the origins of the planet and the universe. 
It's not simply a matter of the far away cosmos and their relationship to us. It's the question of how it came to be that events occurring unimaginably long ago, and taking place at a rate so slow it's impossible to see, have come to shape the ground we walk on. The decay of radioactive material deep in the earth's core is responsible for not only the Rocky Mountains, but the formation of cities and societies that have lived there for generations, such as Rocky Mountain National Park, which serves as a beacon to the natural wonders of America and Canada. It's responsible for mountains that serve as barriers, bringing to life divisions in culture unique to each side, while also posing a challenge to be crossed and burrowed into, spurring on scientific innovation in the process.  
So many aspects of what it means to be human, from the way cities are constructed, to the way nations are organized, are influenced by our natural environment, by the vast and complex set of processes that have shaped the earth since its inception, and will continue to do so long into the future.
",,ways that the earth has been shaped by ancient natural processes,ways that the earth has been shaped by scientific innovation,ways that our lives have been shaped by philosopher's theories,ways that our lives have been shaped by cultural events,English,,,Single,1,No
Q23,English,Reading Comprehension,Application,Low,Photosynthesis is an important process that supports many kinds of life. What evidence from the text supports this conclusion?,Reading Comprehension: Read the passage below and answer the questions that follow.,"There's a deep and complex relationship between living creatures, inorganic material such as rock and minerals, and the climate conditions we experience, such as rain and wind. These relationships are not always easy to see. Sometimes, the relationship operates on a level that is microscopically small, such as the way plants transform sunlight into nutrients. Other times, the relationship can be observed only across a hugely long span of time hundreds, thousands, or even millions of years. But the connection is there, and we're in a unique and privileged position to see and appreciate it. 
If you could overcome these two limitations of everyday seeing. if you could see things that were very small and subtle, and if you could see things that occurred over a very long stretch of time--what would you see?  
It's a matter of debate, but there's certainly a good case to be made that photosynthesis may be the most exciting earth process we know of. We know that plants are capable of converting water, carbon dioxide, and sunlight into oxygen. They are able to achieve this remarkable feat with a relatively small number of separate parts, and have done so, very reliably, for ages. Anyone who's ever had a household plant, watered it, set it near light, watched it grow, and felt the air in her home to be cleaner has experienced this magic firsthand. But if you could see this process on a microscopically small scale, this abstract magic would be revealed as an extraordinary set of mechanisms.  
What if you could see photosynthesis working over the span of billions of years? This is the other remarkable thing: This mechanism, which operates on the smallest scale imaginable, has consequences that are literally global in scope, and span ages. If you could watch the earth evolve, you could see how, over two and a half billion years ago, before the emergence of plants that could release oxygen, there simply wasn't much of it at all in the atmosphere. Not much oxygen in the atmosphere meant there were nowhere near the number and variety of creatures we've come to know today.  
Over the course of hundreds of millions of years, you'd slowly begin seeing the emergence of tiny organisms capable of producing oxygen. However, you'd also notice that most of that oxygen was captured by minerals and other organic matter, never growing to very high levels in the atmosphere. Sooner or later, though, these organic and inorganic matters would reach their saturation point, the moment when they simply could not absorb any more oxygen. That's when the oxygen created by organisms would become free oxygen. Free oxygen for everyone then, as an observer across the ages, you'd begin seeing the atmosphere change, from one dominated by methane and other elements, to one plentiful with oxygen. As we know, this is what set the stage for a huge diversity of mineral and organic life to emerge, including, many billions of years later, human beings. All of us, along with the foods we consume and the ground we walk on, are the direct descendants of a process that began billions of years ago, and that continues today, all across the planet, on a microscopically small level. What could be more exciting than that?  
Of course, if photosynthesis is the most exciting earth process we enjoy, then its energy from the opposite direction and heat from the Earth's core that's the most mysterious. That's because it originates, at least in part, from events that occurred at the very formation of the planet.  
Can you imagine such a thing as 'pre earth' space? It's a pretty heavy concept. But imagine the part of the universe where the earth would soon be, but wasn't yet. There, when the hot gases and particles were pulled together by gravity to create the early earth, immense heat was generated, and the resulting planetary core continues to cool to this day, radiating heat outward. The movement of more and less dense parts of the earth's core produces heat. Most of all, there are massive amounts of radioactive material deep in the earth's core, decaying slowly and releasing heat as they do.  
While energy from the sun sets in motion extraordinary interactions between the atmosphere, organisms and minerals, energy from the earth's core profoundly affects the shape of the ground we walk on--literally. Again, imagine having the power to see very small and very slow. Processes that result from earth's energy operate at these levels. We're all familiar with the most visible results: earthquakes and volcanoes, which can be mighty indeed But energy from the earth's core is also responsible for the shift of tectonic plates, that is, the very placement of one continent relative to another, and, as a result, the emergence of mountains, chasms, oceans, and myriad more aspects of the environment.  
This is what it really means to contemplate the origins of the planet and the universe. 
It's not simply a matter of the far away cosmos and their relationship to us. It's the question of how it came to be that events occurring unimaginably long ago, and taking place at a rate so slow it's impossible to see, have come to shape the ground we walk on. The decay of radioactive material deep in the earth's core is responsible for not only the Rocky Mountains, but the formation of cities and societies that have lived there for generations, such as Rocky Mountain National Park, which serves as a beacon to the natural wonders of America and Canada. It's responsible for mountains that serve as barriers, bringing to life divisions in culture unique to each side, while also posing a challenge to be crossed and burrowed into, spurring on scientific innovation in the process.  
So many aspects of what it means to be human, from the way cities are constructed, to the way nations are organized, are influenced by our natural environment, by the vast and complex set of processes that have shaped the earth since its inception, and will continue to do so long into the future.
",,Photosynthesis may be the most exciting earth process we know of.,"Photosynthesis produces oxygen, which allowed diverse mineral and organic life to emerge.",Photosynthesis operates on the smallest scale imaginable.,"Photosynthesis is a process by which plants convert water, carbon dioxide, and sunlight into oxygen.",English,,,Single,2,No
